drug_name,gene_name
CHEMBL:CHEMBL1833984,PPARG
NERATINIB,KDR
BENZENETHIOL,JUN
NOSCAPINE,HIF1A
CHEMBL:CHEMBL601367,SMAD3
NAVOCAFTOR,CFTR
ERIBULIN MESYLATE,TERT
SERTINDOLE,ADRA1D
LUMACAFTOR,CFTR
"INSULIN, REGULAR, HUMAN",IL6
VILANTEROL,ADRB2
CHEMBL:CHEMBL84010,NFKB1
OT-730,ADRB2
FORETINIB,MET
RAMIPRIL,MMP2
"PYRROLIDINE DITHIOCARBAMIC ACID, AMMONIUM SALT",NFE2L2
OZORALIZUMAB,TNF
DOXAZOSIN MESYLATE,ADRA1D
ODANACATIB,FOS
SAPANISERTIB,KEAP1
ARHALOFENATE,PPARG
FLUOROURACIL,PIK3CA
DEHYDRATED ALCOHOL,CAV1
ANTIDEPRESSANT AGENT,ADRB2
LEBRIKIZUMAB,IL13
"IBUPROFEN, SODIUM SALT",NOS2
ABEMACICLIB,CDKN2A
MRS1505,ABCA3
"N-(5-{4-CHLORO-3-[(2-HYDROXYETHYL)SULFAMOYL]PHENYL}-4-METHYL-1,3-THIAZOL-2-YL)ACETAMIDE",F2R
CHEMBL:CHEMBL481161,TERT
LETROZOLE,CDKN2A
ETHACRYNIC ACID,NFE2L2
SRT2104,SIRT1
DACINOSTAT,MSTN
CHEMBL:CHEMBL530664,STAT3
CHEMBL:CHEMBL578675,NFE2L2
LORAZEPAM,APOE
S-49076,FGFR2
MRS1041,ABCA3
PHENYLEPHRINE,PIK3CG
PARTHENOLIDE,NFKB1
PERICIAZINE,ADRA1D
ORANTINIB,KDR
FLUOROURACIL,KEAP1
INAVOLISIB,FGFR2
DIHYDROSPHINGOSINE,IL6
CHEMBL:CHEMBL408850,TP53
NAVITOCLAX,PIK3CA
I-ABOPX,ABCA3
LEVOFLOXACIN ANHYDROUS,IL6
MSX-2,ABCA3
ADEFOVIR DIPIVOXIL,NFE2L2
GEDATOLISIB,PIK3CD
TASELISIB,PIK3CA
ALACIZUMAB PEGOL,KDR
DIHYDROERGOTAMINE MESYLATE,A2M
XL228,FGFR2
NINTEDANIB ESYLATE,FGFR2
MECHLORETHAMINE HYDROCHLORIDE,TP53
FLUFENAMIC ACID,HIF1A
BELINOSTAT,MSTN
METHYLPARABEN,NFE2L2
CHEMBL:CHEMBL586061,NFE2L2
DEHYDRATED ALCOHOL,F2R
TRETINOIN,FAS
GEFITINIB,MET
DOVITINIB,FGFR2
CLOTRIMAZOLE,TP53
GUGGULSTERONE,NFE2L2
AZ8838,APOE
NIMESULIDE,MPO
SELUMETINIB,MET
COTININE,CYP2A6
EPINEPHRINE BITARTRATE,ADRA1D
ECONAZOLE NITRATE,NR1I2
SULFONE ANTI-INFECTIVE AGENT,MPO
FLUOROURACIL,CYP2A6
BT-11,HGF
DABRAFENIB,TP53
SF1126,PIK3CG
ZM447439,KDR
MOCETINOSTAT,HDAC2
BAY 55-9837,ARCN1
"INSULIN, REGULAR, HUMAN",PIK3CG
CHEMBL:CHEMBL299853,CASP3
REFAMETINIB,MAPK3
"CP608,039",ABCA3
RECOMBINANT HUMAN STEM CELL FACTOR,CDKN1A
ZINC CHLORIDE,TP53
TIVANTINIB,MET
AZD-8186,PIK3CD
SUNITINIB,HIF1A
ENDOTHELIN-1,EDNRA
MESALAMINE,PPARG
PAZOPANIB,KDR
NADOLOL,ADRB2
FIMEPINOSTAT,PIK3CA
FIMEPINOSTAT,PIK3CB
VOXTALISIB,PIK3CD
VOXTALISIB,PIK3CG
MARIMASTAT,MMP12
VASOACTIVE INTESTINAL PEPTIDE,ADRA1D
BALOXAVIR,BLOC1S6
CDX-1140,CD40
FEPIXNEBART,TGFA
CHEMBL:CHEMBL225257,NFE2L2
CHEMBL:CHEMBL296021,NFE2L2
PHENAMIPHOS,PPARG
HALICLONADIAMINE,HIF1A
INDOLE-3-BUTYRIC ACID,NFE2L2
ANGUIDIN,SMAD3
NIFUROXAZIDE,NFE2L2
CHEMBL:CHEMBL600347,TP53
PYRITHIONE,SMAD3
MITONAFIDE,NFE2L2
4-NONYLPHENOL,NFE2L2
SUNITINIB,KDR
CHEMBL:CHEMBL560532,CASP3
CHEMBL:CHEMBL593366,NFE2L2
CHEMBL:CHEMBL591370,NFE2L2
DOXORUBICIN HYDROCHLORIDE,TP53
CYCLOHEXIMIDE,SMAD3
VORINOSTAT,ACE
GITOXIGENIN,SMAD3
CHEMBL:CHEMBL148831,NFE2L2
CHEMBL:CHEMBL429095,TP53
"NITROFURANTOIN, MACROCRYSTALS",NFE2L2
PROCATEROL HYDROCHLORIDE,ADRB2
CYPROTERONE ACETATE,NFE2L2
CARBENOXOLONE SODIUM,NFE2L2
CHEMBL:CHEMBL1466186,SMAD3
CHEMBL:CHEMBL401844,ADCY2
LY-294002,NFKB1
AMINACRINE HYDROCHLORIDE,NFE2L2
ALISERTIB,KDR
CHEMBL:CHEMBL117487,HDAC2
KAMEBANIN,SMAD3
CHEMBL:CHEMBL2095095,SMAD3
TRIAMTERENE,NFE2L2
TRICLOSAN,SMAD3
BIX-01294,SMAD3
E232,NFE2L2
CHEMBL:CHEMBL429095,NFE2L2
CHEMBL:CHEMBL17442,TERT
CINNARIZINE,TP53
SIMETRIDE,NFE2L2
MALINAMIDE,NFE2L2
BARDOXOLONE METHYL,STAT3
GERONTOXANTHONE I,SMAD3
TEPOTINIB,MET
CABOZANTINIB S-MALATE,MET
ANTIDEPRESSANT AGENT,APOE
STAUROSPORINE,APOE
TIRATRICOL,NFE2L2
MPA,FAS
DEHYDRATED ALCOHOL,GCLC
ACELLULAR DERMAL MATRIX,GSTP1
"BENZO(A)PYRENE-7,8-DIOL 9,10-EPOXIDE",GSTP1
LEFLUNOMIDE,MMP1
RETINOIC ACID AGENT,MMP2
SELECTIVE ESTROGEN RECEPTOR MODULATOR,NFE2L2
TAMOXIFEN,NFE2L2
RECOMBINANT 70-KD HEAT-SHOCK PROTEIN,NOS1
TAS-115,KDR
SANDOSTATIN,TGFB1
TOREMIFENE,TGFB1
OSIMERTINIB,MET
FEXAGRATINIB,FGFR2
VITAMIN E,TGFB1
CELECOXIB,PPARG
CLOZAPINE,CYP1A1
GLESATINIB,MET
ASPIRIN,PPARG
ASPIRIN,F2R
ASPIRIN,GSTP1
AR-42,HDAC2
MUPARFOSTAT,KDR
TRANDOLAPRIL,ACE
GOLIMUMAB,TNF
CARVEDILOL,ADRA1D
PINDOLOL,ADRB2
PROCATEROL,ADRB2
PI3K P110BETA/DELTA INHIBITOR KA2237,PIK3CG
ANTI-MET MONOCLONAL ANTIBODY MIXTURE SYM015,MET
NEBENTAN,EDNRA
SILTUXIMAB,IL6
