geneSymbol,diseaseName
SERPINA1,Pulmonary Emphysema
TGFB1,Pulmonary Emphysema
MMP12,Pulmonary Emphysema
EPHX1,Pulmonary Emphysema
HMOX1,Pulmonary Emphysema
ITGB6,Pulmonary Emphysema
CYP2A6,Pulmonary Emphysema
APOE,Emphysema
FBLN5,Emphysema
KL,Emphysema
NFE2L2,Emphysema
NOS2,Emphysema
PPP2R2A,Emphysema
PPP2R2C,Emphysema
PPP2R5A,Emphysema
TP53,Emphysema
MMP9,Pulmonary Emphysema
MMP2,Pulmonary Emphysema
HDAC2,Pulmonary Emphysema
IL18,Pulmonary Emphysema
NOS2,Pulmonary Emphysema
MCAM,Emphysema
PTGS2,Pulmonary Emphysema
EDNRA,Pulmonary Emphysema
GCLC,Pulmonary Emphysema
ITGB6,"Emphysema, Hereditary Pulmonary"
JUN,"Emphysema, Hereditary Pulmonary"
MMP9,"Emphysema, Hereditary Pulmonary"
FUT8,"Emphysema, Hereditary Pulmonary"
MMP1,"Emphysema, Hereditary Pulmonary"
FBN1,"Emphysema, Hereditary Pulmonary"
BLOC1S6,"Emphysema, Hereditary Pulmonary"
TLR4,"Emphysema, Hereditary Pulmonary"
KL,"Emphysema, Hereditary Pulmonary"
EPHX1,Emphysema
GSTP1,Emphysema
ELANE,Pulmonary Emphysema
GSTT1,Emphysema
MMP9,Emphysema
HMOX1,Emphysema
CYP2A13,Emphysema
GSTM1,Emphysema
SERPINA1,Emphysema
ARCN1,Pulmonary Emphysema
COPD,Pulmonary Emphysema
MMP1,Pulmonary Emphysema
VEGFA,Pulmonary Emphysema
TNF,Pulmonary Emphysema
ELN,Pulmonary Emphysema
CTSS,Pulmonary Emphysema
IFNG,Pulmonary Emphysema
SERPINE2,Pulmonary Emphysema
BICD1,Pulmonary Emphysema
TGFBR3,Pulmonary Emphysema
CCL5,Pulmonary Emphysema
SERPINA13P,Pulmonary Emphysema
FGFR2,Emphysema
CCL5,Emphysema
MET,Emphysema
IFNG,Emphysema
FGF7,Emphysema
HGF,Emphysema
CYP2E1,Emphysema
CYP1A1,Emphysema
TNF,Emphysema
MPO,Emphysema
MMP1,Emphysema
CYP2A6,Emphysema
SERPINE1,Emphysema
ELN,Emphysema
SERPINE2,Emphysema
ACE,Emphysema
TGFB1,Emphysema
SFTPB,Emphysema
MYOM2,Emphysema
BICD1,Emphysema
COBL,Emphysema
ADARB2,Emphysema
SFTPC,Pulmonary Emphysema
PLF,Pulmonary Emphysema
SFTPD,Pulmonary Emphysema
FEV,Pulmonary Emphysema
SERPINA1,Panacinar emphysema
ADRA1D,Pulmonary Emphysema
FUT8,Pulmonary Emphysema
NFE2L2,Pulmonary Emphysema
SERPINA3,Pulmonary Emphysema
CHRNA3,Pulmonary Emphysema
EGR1,Pulmonary Emphysema
FBN1,Pulmonary Emphysema
GABPA,Pulmonary Emphysema
GSTM1,Pulmonary Emphysema
GSTP1,Pulmonary Emphysema
IL6,Pulmonary Emphysema
KDR,Pulmonary Emphysema
SMAD3,Pulmonary Emphysema
NFKB1,Pulmonary Emphysema
TLR4,Pulmonary Emphysema
KL,Pulmonary Emphysema
