drug_name,gene_name
RACLOPRIDE,CYP2D6
CHEMBL:CHEMBL1833984,PPARG
WITHAFERIN A,MAPK1
ANGIOTENSIN II,AGTR1
NERATINIB,KDR
CEP-9722,PARP1
IMATINIB,KIT
CLODRONIC ACID,CCL4
PLATINUM,CSF2
BENZENETHIOL,JUN
ARBUTAMINE,ADRB1
CHEMBL:CHEMBL347610,AGTR1
[125I]TYR11-SRIF-14,AQP1
DIPIVEFRIN HYDROCHLORIDE,ADRB3
LANOTEPLASE,PLG
TAMOXIFEN,ESR1
PHENOLPHTHALEIN,GPR55
TETRABENAZINE,CYP2D6
NOSCAPINE,HIF1A
REMOXIPRIDE,DRD2
RM65,PRMT1
AVUTOMETINIB,FGFR1
ABEXINOSTAT,HDAC9
DACTINOMYCIN,NR3C1
AMLODIPINE BESYLATE,CACNA1D
THEONELLASTEROL E,NR1H4
CHEMBL:CHEMBL601367,SMAD3
BAZEDOXIFENE,IL6R
TOZASERTIB,RPS6KB1
E324,CYP2C9
NABUMETONE,PTGS1
"[SAR9,MET(O2)11]SP",AQP3
VASOPRESSIN TANNATE,AVPR1A
PITAVASTATIN MAGNESIUM,HMGCR
ANTI-PD-L1 MONOCLONAL ANTIBODY MDX-1105,CD274
BIX-01294,GCNT2
BMS-599626,ERBB2
ENMD-2076,KIT
PICROTOXIN,ASAH1
THIOURACIL,EDN1
LAMIVUDINE,LEP
AM404,CYP2C9
CER-002,PPARD
SELUMETINIB,MAP2K2
MESALAMINE,PTGS1
NAVOCAFTOR,CFTR
GILTERITINIB,PTK2B
CHEMBL:CHEMBL259615,GLP1R
CHEMBL:CHEMBL459729,IGF1R
PALBOCICLIB,ESR1
ERIBULIN MESYLATE,TERT
GW843682X,EGFR
CERITINIB,ALK
4-BENZYLOXYANILINE,SMN2
X-396,ALK
UMIFENOVIR,CYP3A4
Y27632,CTRB1
DALUTRAFUSP ALFA,CCR3
ELOBIXIBAT,SLC10A2
PHENYLEPHRINE,VWF
METHYLPREDNISOLONE SODIUM SUCCINATE,NR3C1
FLUVASTATIN,HMGCR
TASOSARTAN,AGTR1
FARICIMAB,ANGPT2
EVEROLIMUS,HRAS
NERATINIB,ERBB2
TYRPHOSTIN A9,ATXN2
DESIPRAMINE,CYP1A2
SERTINDOLE,ADRA1D
NEPAFENAC,COX8A
FULVESTRANT,ESR1
PRAZOSIN HYDROCHLORIDE,ADRA1A
LUMACAFTOR,CFTR
PRILIXIMAB,CD4
CHELERYTHRINE,CYP1A2
"INSULIN, REGULAR, HUMAN",IL6
2MD,VDR
ALPROSTADIL,RND3
CHLORAMBUCIL,CXCL12
CYTARABINE,GATA3
ANTIBIOTIC,SOD2
VILANTEROL,ADRB2
CYC-116,FYN
YOHIMBINE,ADRA2A
"INSULIN, REGULAR, HUMAN",YWHAE
CISPLATIN,CXCR4
CHLORPROTHIXENE,HTR2B
GNE-131,BBS1
TOLVAPTAN,ABCC6
HUMAN CHORIONIC GONADOTROPIN,TAC1
BEFIRADOL,HTR1A
LOBELINE HYDROCHLORIDE,KCNH2
NONIVAMIDE,ALOX15
PINOMETOSTAT,GCNT1
ROLAPITANT,AQP3
AXITINIB,DRD2
CHEMBL:CHEMBL1642672,MAOA
CHEMBL:CHEMBL84010,NFKB1
OT-730,ADRB2
BMS-986020,LPAR1
CHEMBL:CHEMBL590914,KCNH2
IMATINIB,PDGFRB
INDAPAMIDE,KCNQ1
LIRAGLUTIDE,GLP1R
MOLIBRESIB,DNER
COMPOUND 17 [PMID: 23642479],ELAVL2
ALLISAN,AR
FORETINIB,MET
CISPLATIN,TGM2
RAMIPRIL,MMP2
HISTAMINE,HRH1
GLOFITAMAB,GATM
CISPLATIN,ESR1
FLUDROCORTISONE ACETATE,NR3C2
EPTIFIBATIDE,ITGA2B
CHEMBL:CHEMBL594257,TOP2A
PHENETHYL ISOTHIOCYANATE,DDIT3
MINAPRINE,SLC6A4
E6201,PTEN
"PYRROLIDINE DITHIOCARBAMIC ACID, AMMONIUM SALT",NFE2L2
MYCOPHENOLATE,IMPDH2
AM404,CYP3A4
METHANDROSTENOLONE,AR
PSORA-4,CYP2C19
OZORALIZUMAB,TNF
QUININE,CYP3A4
DOXAZOSIN MESYLATE,ADRA1D
"[PHAA1,D-TYR(ET)2,VAL4,LYS6,TYR-NH28,DES-GLY9]AVP",ABCC6
CYC-116,SYK
DIAZOXIDE,KCNJ11
AMIKACIN,RPSA
SURAMIN,USP2
DEXAMETHASONE,APOB
THYMOL IODIDE,VDR
TNF-ALPHA,OSM
MANGOSTIN,HSD17B10
DANAZOL,AR
CHLORAMBUCIL,ERBB2
CHEMBL:CHEMBL585045,CYP3A4
TRILOSTANE,HSD3B1
KAEMPHEROL,CYP2C9
