geneSymbol,diseaseName
IRS1,"Diabetes Mellitus, Type 2"
AVP,"Diabetes Insipidus, Neurogenic"
INS,"Diabetes Mellitus, Permanent Neonatal"
KCNJ11,"Diabetes Mellitus, Permanent Neonatal"
HNF4A,"Diabetes Mellitus, Type 2"
HNF1A,"Maturity-Onset Diabetes of the Young, Type 3"
HNF4A,"Maturity-Onset Diabetes of the Young, Type 1"
AKT2,"Diabetes Mellitus, Type 2"
PDX1,"Maturity-Onset Diabetes of the Young, Type 4"
HNF1B,"Diabetes Mellitus, Type 2"
TCF7L2,"Diabetes Mellitus, Type 2"
HNF1B,Renal cysts and diabetes syndrome
ABCC8,"Diabetes Mellitus, Permanent Neonatal"
ZFP57,"Diabetes Mellitus, Transient Neonatal, 1"
MAPK8IP1,"Diabetes Mellitus, Type 2"
PAX4,"Maturity-Onset Diabetes Of The Young, Type 9"
KCNJ11,"Diabetes Mellitus, Transient Neonatal, 3"
KLF11,"Maturity-Onset Diabetes of the Young, Type 7"
HNF1A,"Diabetes Mellitus, Insulin-Dependent, 20"
CAPN10,"Diabetes Mellitus, Type 2"
IL6,"Diabetes Mellitus, Type 2"
INSR,"Diabetes Mellitus, Type 2"
SLC2A2,"Diabetes Mellitus, Type 2"
SLC2A4,"Diabetes Mellitus, Type 2"
AQP2,"Diabetes Insipidus, Nephrogenic"
PAX4,"Diabetes Mellitus, Type 2"
AVPR2,"DIABETES INSIPIDUS, NEPHROGENIC, X-LINKED"
GCK,"Diabetes Mellitus, Type Ii, Autosomal Dominant"
GCK,"Diabetes Mellitus, Type 2"
INSR,Insulin Resistance
ABCC8,"Diabetes Mellitus, Transient Neonatal, 2"
HMGA1,"Diabetes Mellitus, Type 2"
GLIS3,"Diabetes Mellitus, Neonatal, with Congenital Hypothyroidism"
ENPP1,"Diabetes Mellitus, Type 2"
ABCC8,"Diabetes Mellitus, Type 2"
IGF2BP2,"Diabetes Mellitus, Type 2"
RETN,"Diabetes Mellitus, Type 2"
NEUROD1,"Diabetes Mellitus, Type 2"
AVPR2,"Diabetes Insipidus, Nephrogenic"
LEP,"Diabetes Mellitus, Type 2"
LIPC,"Diabetes Mellitus, Type 2"
HNF1A,"Diabetes Mellitus, Type 1"
INS,"Diabetes Mellitus, Type 2"
INS,"Diabetes Mellitus, Type 1"
ACE,Diabetic Nephropathies
GCGR,"Diabetes Mellitus, Type 2"
INS,"Maturity-onset diabetes of the young, type 10"
IFIH1,"Diabetes Mellitus, Insulin-Dependent, 19"
INSR,"Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans"
INS,"Diabetes Mellitus, Insulin-Dependent, 2"
HNF1A,"Diabetes Mellitus, Type 2"
GPD2,"Diabetes Mellitus, Type 2"
GCK,"Diabetes Mellitus, Permanent Neonatal"
CEL,"Maturity-Onset Diabetes of the Young, Type 8, with Exocrine Dysfunction"
ADIPOQ,"Diabetes Mellitus, Type 2"
GATA6,"Pancreatic Hypoplasia, Congenital, with Diabetes Mellitus and Congenital Heart Disease"
PTF1A,"Diabetes Mellitus, Permanent Neonatal, with Cerebellar Agenesis"
VEGFA,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 1"
IL1RN,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 4"
EPO,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 2"
IER3IP1,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME"
SOD2,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 6"
BLK,"Maturity-onset diabetes of the young, type 11"
TNF,"Diabetes Mellitus, Type 2"
CDKAL1,"Diabetes Mellitus, Type 2"
PPARGC1A,"Diabetes Mellitus, Type 2"
INS,Diabetes Mellitus
NOS3,"Diabetes Mellitus, Type 2"
UCP2,"Diabetes Mellitus, Type 2"
TGFB1,Diabetic Nephropathies
ADIPOQ,Insulin Resistance
LEPR,"Diabetes Mellitus, Type 2"
PDX1,"Diabetes Mellitus, Type 2"
TNF,Insulin Resistance
IRS2,"Diabetes Mellitus, Type 2"
PPARG,"Diabetes Mellitus, Type 2"
ICAM1,"Diabetes Mellitus, Type 2"
IFNG,"Diabetes Mellitus, Type 1"
PPP1R3A,"Diabetes Mellitus, Type 2"
ADIPOQ,"Diabetes, Gestational"
NOS2,"Diabetes Mellitus, Type 2"
ADRB2,Insulin Resistance
HLA-DQB1,"Diabetes Mellitus, Type 1"
ALB,Diabetic Nephropathies
EDN1,"Diabetes Mellitus, Type 2"
TNFRSF1A,"Diabetes Mellitus, Type 2"
AGT,Diabetic Retinopathy
CCL2,Diabetic Nephropathies
NOS3,Diabetic Angiopathies
TGFBI,Diabetic Nephropathies
NOS3,Insulin Resistance
SIRT1,Insulin Resistance
SERPINE1,Diabetic Nephropathies
TLR4,Diabetic Neuropathies
ATP2A2,"Diabetes Mellitus, Type 2"
ACACB,Insulin Resistance
CD36,Insulin Resistance
LEP,Insulin Resistance
PIK3R1,Insulin Resistance
NFE2L2,Diabetic Nephropathies
EDNRA,"Diabetes Mellitus, Type 2"
ATP2A2,Diabetic Cardiomyopathies
CPT1A,"Diabetes Mellitus, Type 2"
EDNRB,"Diabetes Mellitus, Type 2"
PRKAA1,Insulin Resistance
PTEN,Insulin Resistance
SREBF1,Insulin Resistance
AQP2,"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL"
ACE,"Diabetes Mellitus, Experimental"
ADRA1A,"Diabetes Mellitus, Experimental"
ADRB3,"Diabetes Mellitus, Experimental"
AOC3,"Diabetes Mellitus, Experimental"
ATP2A2,"Diabetes Mellitus, Experimental"
BAX,"Diabetes Mellitus, Experimental"
BCL2,"Diabetes Mellitus, Experimental"
BCL2L1,"Diabetes Mellitus, Experimental"
BDKRB1,"Diabetes Mellitus, Experimental"
CAT,"Diabetes Mellitus, Experimental"
CX3CL1,"Diabetes Mellitus, Experimental"
CYBA,"Diabetes Mellitus, Experimental"
CYBB,"Diabetes Mellitus, Experimental"
CYP1A1,"Diabetes Mellitus, Experimental"
EDN1,"Diabetes Mellitus, Experimental"
FAS,"Diabetes Mellitus, Experimental"
GCK,"Diabetes Mellitus, Experimental"
GPX1,"Diabetes Mellitus, Experimental"
GSR,"Diabetes Mellitus, Experimental"
HMOX1,"Diabetes Mellitus, Experimental"
ICAM1,"Diabetes Mellitus, Experimental"
IFNG,"Diabetes Mellitus, Experimental"
IGF1,"Diabetes Mellitus, Experimental"
IL1B,"Diabetes Mellitus, Experimental"
IL6,"Diabetes Mellitus, Experimental"
INSR,"Diabetes Mellitus, Experimental"
IRS1,"Diabetes Mellitus, Experimental"
KCNJ11,"Diabetes Mellitus, Experimental"
MMP9,"Diabetes Mellitus, Experimental"
