drug_name,gene_name
RACLOPRIDE,CYP2D6
CHEMBL:CHEMBL1833984,PPARG
"3,4-DICHLOROISOCOUMARIN",RGS4
WITHAFERIN A,MAPK1
ANGIOTENSIN II,AGTR1
NERATINIB,KDR
CEP-9722,PARP1
GDC-0339,F10
CLODRONIC ACID,CCL4
PLATINUM,CSF2
BENZENETHIOL,JUN
CHEMBL:CHEMBL590168,EHMT2
ARBUTAMINE,ADRB1
CHEMBL:CHEMBL347610,AGTR1
[125I]TYR11-SRIF-14,AQP1
NINTEDANIB ESYLATE,FGFR3
DIPIVEFRIN HYDROCHLORIDE,ADRB3
LANOTEPLASE,PLG
VERNAKALANT HYDROCHLORIDE,KCND3
TAMOXIFEN,ESR1
TETRABENAZINE,CYP2D6
NOSCAPINE,HIF1A
REMOXIPRIDE,DRD2
RM65,PRMT1
AVUTOMETINIB,FGFR1
ABEXINOSTAT,HDAC9
DACTINOMYCIN,NR3C1
SGI-1776,F10
THEONELLASTEROL E,NR1H4
CHEMBL:CHEMBL601367,SMAD3
CENISERTIB,CSF1R
BAZEDOXIFENE,IL6R
TOZASERTIB,RPS6KB1
S-NITROSOGLUTATHIONE,EHMT2
NABUMETONE,PTGS1
PITAVASTATIN MAGNESIUM,HMGCR
ANTI-PD-L1 MONOCLONAL ANTIBODY MDX-1105,CD274
ANTI-PD-L1 MONOCLONAL ANTIBODY MDX-1105,CD274
BIX-01294,GCNT2
PADNARSERTIB,PAK4
BMS-599626,ERBB2
THIOURACIL,EDN1
BCG VACCINE,KLK3
LAMIVUDINE,LEP
N-ARACHIDONYL-&GAMMA;-AMINOBUTYRIC ACID,KAT2A
CHEMBL:CHEMBL1415258,RAD52
CER-002,PPARD
SELUMETINIB,MAP2K2
MESALAMINE,PTGS1
NAVOCAFTOR,CFTR
GILTERITINIB,PTK2B
CI-1040,MAP2K1
RETINOIC ACID AGENT,RARG
CHEMBL:CHEMBL459729,IGF1R
PALBOCICLIB,ESR1
GW843682X,EGFR
CERITINIB,ALK
SRT-1720,FEN1
4-BENZYLOXYANILINE,SMN2
X-396,ALK
NINTEDANIB ESYLATE,FGFR3
PHENYLEPHRINE,VWF
METHYLPREDNISOLONE SODIUM SUCCINATE,NR3C1
FLUVASTATIN,HMGCR
TASOSARTAN,AGTR1
NERATINIB,ERBB2
TYRPHOSTIN A9,ATXN2
DESIPRAMINE,CYP1A2
SERTINDOLE,ADRA1D
NEPAFENAC,COX8A
FULVESTRANT,ESR1
PRAZOSIN HYDROCHLORIDE,ADRA1A
LUMACAFTOR,CFTR
PRILIXIMAB,CD4
SOFALCONE,USP1
TARENFLURBIL,NCSTN
CHELERYTHRINE,CYP1A2
"INSULIN, REGULAR, HUMAN",IL6
2MD,VDR
"2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE",MAPT
WB 4101,ABL2
CHLORAMBUCIL,CXCL12
ANTIBIOTIC,SOD2
VILANTEROL,ADRB2
CYC-116,FYN
YOHIMBINE,ADRA2A
PROPANTHELINE BROMIDE,CHRM1
R-L3,AZF1
CISPLATIN,CXCR4
GNE-131,BBS1
HUMAN CHORIONIC GONADOTROPIN,TAC1
BEFIRADOL,HTR1A
NONIVAMIDE,ALOX15
AT-7519,CDK20
AXITINIB,DRD2
ENCLOMIPHENE CITRATE,EHMT2
CHEMBL:CHEMBL1642672,MAOA
CHEMBL:CHEMBL84010,NFKB1
OT-730,ADRB2
IMATINIB,PDGFRB
AZITHROMYCIN,ABCC1
AS95,ABCA2
CARBOPLATIN,SLCO1B3
ARIMOCLOMOL,HSP90B2P
COMPOUND 17 [PMID: 23642479],ELAVL2
ALLISAN,AR
FORETINIB,MET
CISPLATIN,TGM2
RAMIPRIL,MMP2
HISTAMINE,HRH1
(R)-UH 301,A1BG
DEMCIZUMAB,DLL4
CISPLATIN,ESR1
FLUDROCORTISONE ACETATE,NR3C2
EPTIFIBATIDE,ITGA2B
FASUDIL,PRKACA
PHENETHYL ISOTHIOCYANATE,DDIT3
MINAPRINE,SLC6A4
E6201,PTEN
"PYRROLIDINE DITHIOCARBAMIC ACID, AMMONIUM SALT",NFE2L2
PHENOBARBITAL,GRIA1
METHANDROSTENOLONE,AR
CGS 15943,EHMT2
OZORALIZUMAB,TNF
DOXAZOSIN MESYLATE,ADRA1D
CYC-116,SYK
DIAZOXIDE,KCNJ11
AMIKACIN,RPSA
ABT-560,CHRNB2
TRIPARANOL,DHCR24
CHEMBL:CHEMBL547304,EHMT2
DEXAMETHASONE,APOB
THYMOL IODIDE,VDR
TNF-ALPHA,OSM
FORETINIB,MET
MANGOSTIN,HSD17B10
DANAZOL,AR
(-)-TERTATOLOL,A1BG
CHLORAMBUCIL,ERBB2
BUTABARBITAL,GRIK2
