geneSymbol,diseaseName
PRNP,Creutzfeldt-Jakob Syndrome
APP,Alzheimer Disease
MAPT,Frontotemporal Dementia
SOD1,Amyotrophic lateral sclerosis 1
HTT,Huntington Disease
VCP,Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal Dementia
ZEB2,Mowat-Wilson syndrome
FXN,Friedreich Ataxia 1
UCHL1,"PARKINSON DISEASE 5, AUTOSOMAL DOMINANT"
LRRK2,"PARKINSON DISEASE 8, AUTOSOMAL DOMINANT"
TDP1,"Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy"
SNCA,"PARKINSON DISEASE 1, AUTOSOMAL DOMINANT"
PINK1,"Parkinson Disease 6, Autosomal Recessive Early-Onset"
VAPB,Amyotrophic Lateral Sclerosis 8
SETX,"Spinocerebellar ataxia, autosomal recessive 1"
ATP13A2,Parkinson disease 9
C10orf2,Infantile onset spinocerebellar ataxia
CHMP2B,"Frontotemporal Dementia, Chromosome 3-Linked"
KCNC3,Spinocerebellar ataxia 13
PRKCG,Spinocerebellar ataxia 14
SLC6A3,"Parkinsonism-Dystonia, Infantile"
ABCB7,"Anemia, sideroblastic spinocerebellar ataxia"
ITPR1,Spinocerebellar Ataxia 15
PLA2G6,"Dystonia-Parkinsonism, Adult-Onset"
FGF14,Spinocerebellar ataxia 27
ZNF592,"Spinocerebellar ataxia, autosomal recessive 5"
ITPR1,Spinocerebellar Ataxia 29
OPTN,AMYOTROPHIC LATERAL SCLEROSIS 12
FIG4,Amyotrophic Lateral Sclerosis 11
SETX,"Amyotrophic Lateral Sclerosis 4, Juvenile"
PLEKHG5,"Spinal Muscular Atrophy, Distal, Autosomal Recessive, 4"
ATP7A,"Spinal Muscular Atrophy, Distal, X-Linked 3"
PSEN2,Alzheimer disease type 4
AFG3L2,Spinocerebellar ataxia 28
ADCK3,"Spinocerebellar Ataxia, Autosomal Recessive 9"
PARK7,"Parkinson Disease 7, Autosomal Recessive Early-Onset"
GIGYF2,Parkinson Disease 11
PDYN,Spinocerebellar ataxia 23
IGHMBP2,Spinal muscular atrophy with respiratory distress 1
PARK2,"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE"
CACNA1A,SPINOCEREBELLAR ATAXIA 6
HTRA2,"PARKINSON DISEASE 13, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO"
SPTBN2,SPINOCEREBELLAR ATAXIA 5
JPH3,Huntington Disease-Like 2
PSEN1,"Alzheimer disease, familial, type 3"
TARDBP,"AMYOTROPHIC LATERAL SCLEROSIS 10, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA"
SNCA,"Parkinson Disease 4, Autosomal Dominant Lewy Body"
APOE,Alzheimer Disease
FXN,Friedreich Ataxia
PSEN1,Alzheimer Disease
SNCA,Parkinson Disease
MAPT,Alzheimer Disease
PSEN1,Frontotemporal Dementia
PRKAG2,Wolff-Parkinson-White Syndrome
TRPV4,"SPINAL MUSCULAR ATROPHY, SCAPULOPERONEAL"
DCTN1,Amyotrophic lateral sclerosis 1
ANG,Amyotrophic Lateral Sclerosis 9
TBP,Spinocerebellar Ataxia 17
ALS2,Primary lateral sclerosis juvenile
SMN1,spinal muscular atrophy type ii
ATXN10,Spinocerebellar Ataxia 10
ATXN8OS,Spinocerebellar ataxia 8
PPP2R2B,Spinocerebellar Ataxia 12
ALS2,"Amyotrophic Lateral Sclerosis 2, Juvenile"
DYNC1H1,"Spinal Muscular Atrophy, Childhood, Proximal, Autosomal Dominant"
SYNJ1,"PARKINSON DISEASE 20, EARLY-ONSET"
PNPLA6,"Chorioretinal Dystrophy, Spinocerebellar Ataxia, and Hypogonadotropic Hypogonadism"
ATP2B3,"Spinocerebellar Ataxia, X-Linked 1"
SIGMAR1,"AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE"
FUS,"Amyotrophic Lateral Sclerosis 6, Autosomal Recessive"
TTBK2,Spinocerebellar Ataxia 11
PSEN1,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia"
VPS35,PARKINSON DISEASE 17
C19orf12,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 4
WWOX,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 12"
HNRNPA2B1,INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 2
COASY,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 6
EIF4G1,PARKINSON DISEASE 18
ANO10,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 10"
UBQLN2,"AMYOTROPHIC LATERAL SCLEROSIS 15, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA"
KCND3,Spinocerebellar ataxia 19
EEF2,Spinocerebellar ataxia 26
BEAN1,Spinocerebellar Ataxia 31
ATXN8,Spinocerebellar ataxia 8
ADAM10,ALZHEIMER DISEASE 18
HNRNPA1,INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 3
HNRNPA1,AMYOTROPHIC LATERAL SCLEROSIS 20
PFN1,AMYOTROPHIC LATERAL SCLEROSIS 18
BICD2,"SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 2, AUTOSOMAL DOMINANT"
VCP,"AMYOTROPHIC LATERAL SCLEROSIS 14, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA"
SYT14,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 11"
ERBB4,AMYOTROPHIC LATERAL SCLEROSIS 19
TPP1,"Spinocerebellar Ataxia, Autosomal Recessive 7"
FUS,"AMYOTROPHIC LATERAL SCLEROSIS 6, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA"
SYNE1,"Spinocerebellar Ataxia, Autosomal Recessive 8"
ACE,Alzheimer Disease
IL1B,Alzheimer Disease
PSEN2,Alzheimer Disease
BDNF,Alzheimer Disease
MAOB,Parkinson Disease
SOD1,Amyotrophic Lateral Sclerosis
HLA-DRB1,Multiple Sclerosis
LRRK2,Parkinson Disease
DRD2,Parkinson Disease
PARK2,Parkinson Disease
PLAU,Alzheimer Disease
PINK1,Parkinson Disease
TARDBP,Amyotrophic Lateral Sclerosis
INS,Alzheimer Disease
ATXN1,SPINOCEREBELLAR ATAXIA 1
SLC18A2,Parkinson Disease
BACE1,Alzheimer Disease
ATXN2,SPINOCEREBELLAR ATAXIA 2
IGF2,Alzheimer Disease
BCL2,Alzheimer Disease
DRD1,Parkinson Disease
ATXN7,spinocerebellar ataxia-7
DDC,Parkinson Disease
GDNF,Parkinsonian Disorders
NEFH,Amyotrophic lateral sclerosis 1
BAX,Alzheimer Disease
DRD2,Parkinsonian Disorders
IGF1R,Parkinson Disease
APOE,Multiple Sclerosis
PARK7,Parkinson Disease
GBA,Parkinson Disease
SORL1,Alzheimer Disease
HLA-DQB1,Multiple Sclerosis
MAPT,Parkinson Disease
TNF,Alzheimer Disease
BCHE,Alzheimer Disease
MTHFR,Alzheimer Disease
IL7R,Multiple Sclerosis
A2M,Alzheimer Disease
IL2RA,Multiple Sclerosis
CYP46A1,Alzheimer Disease
PRNP,Alzheimer Disease
PINK1,Parkinsonian Disorders
CST3,Alzheimer Disease
PARK2,Parkinsonian Disorders
MAPT,Parkinsonian Disorders
ESR1,Alzheimer Disease
HFE,Alzheimer Disease
IFNB1,Multiple Sclerosis
IDE,Alzheimer Disease
CYP2D6,Parkinson Disease
ATXN1,Spinocerebellar Ataxias
BDNF,Parkinson Disease
GRN,Frontotemporal Dementia
CLEC16A,Multiple Sclerosis
SLC6A3,Parkinson Disease
LRRK2,Parkinsonian Disorders
TF,Alzheimer Disease
CLU,Alzheimer Disease
GSTM1,Parkinson Disease
ATP13A2,Parkinson Disease
NOS3,Alzheimer Disease
IL1B,Multiple Sclerosis
ABCB1,Parkinson Disease
TNF,Parkinson Disease
CACNA1A,Spinocerebellar Ataxias
CD58,Multiple Sclerosis
HLA-DPB1,Multiple Sclerosis
CHRNA7,Alzheimer Disease
VEGFA,Alzheimer Disease
PICALM,Alzheimer Disease
PTPRC,Multiple Sclerosis
ATXN2,Spinocerebellar Ataxias
NCSTN,Alzheimer Disease
ATXN7,Spinocerebellar Ataxias
GSTP1,Parkinson Disease
GSK3B,Alzheimer Disease
TFAM,Alzheimer Disease
CR1,Alzheimer Disease
HLA-DRA,Multiple Sclerosis
CHRNB2,Alzheimer Disease
HFE,Parkinson Disease
POLG,Parkinsonian Disorders
NQO1,Parkinson Disease
HMOX1,Alzheimer Disease
DPP6,Amyotrophic Lateral Sclerosis
TNFRSF1A,Multiple Sclerosis
MPO,Alzheimer Disease
CYP2D6,Alzheimer Disease
PPARG,Alzheimer Disease
BIN1,Alzheimer Disease
SNCA,Parkinsonian Disorders
PRKCG,Spinocerebellar Ataxias
MAOA,Parkinson Disease
CIITA,Multiple Sclerosis
ACHE,Alzheimer Disease
ICAM1,Multiple Sclerosis
IRF8,Multiple Sclerosis
TYK2,Multiple Sclerosis
CP,Parkinson Disease
IL12A,Multiple Sclerosis
CD6,Multiple Sclerosis
SOD2,Parkinson Disease
SLC1A2,Amyotrophic Lateral Sclerosis
CD40,Multiple Sclerosis
SLC11A1,Multiple Sclerosis
CD24,Multiple Sclerosis
BLMH,Alzheimer Disease
BST1,Parkinson Disease
CYP2E1,Parkinson Disease
APBB2,Alzheimer Disease
PCDH11X,Alzheimer Disease
GAPDHS,Alzheimer Disease
IL6,Parkinson Disease
IGF1,Alzheimer Disease
MS,Multiple Sclerosis
PLEKHG4,Spinocerebellar Ataxias
DHCR24,Alzheimer Disease
